asset_id,asset_name,asset_type,program_name,state,lga,community,developer,owner_operator,technology,status,capacity_kw,customers_served,financing_source,latitude,longitude,geocode_precision,coordinate_source,source_name,source_url,source_date_accessed,evidence_level,record_origin,notes,distributed_energy_class,classification_basis,classification_confidence
rea-nep-ibaragun,Ibaragun Ijoko interconnected solar-hybrid mini-grid,interconnected_mini_grid,Nigeria Electrification Programme,Ogun,Ifo,Ibaragun Ijoko,Darway Coast Nigeria Limited,Darway Coast Nigeria Limited,solar_hybrid,operational,1076.4,7000.0,REA-NEP / private and development partners,6.759967,3.317055,exact_site,NEMSA inspection application GPS coordinate,REA-NEP Ibaragun impact assessment,https://nep.rea.gov.ng/posts/feature-article-beyond-power-supply.html,2026-07-24,official_operational,official_supplement,"REA reports stable electricity and more than 7,000 connections. Capacity and coordinate come from the NEMSA inspection record: https://nemsa.gov.ng/admin-request-for-inspection-rea-solar-mini-grid/entry/1511981/.",interconnected_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-13,OGD Farm E,mini_grid,,Ogun,Ijebu Ode,OGD Farm E,,,solar,commissioned,15.0,,,6.8299846,3.9164585,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-16,Olooji,mini_grid,REA,Ogun,Ijebu Ode,Olooji,ACOB,ACOB,hybrid_mini_grid,under_construction,100.0,,Grant,6.8915,4.4409,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-58,Gbagira,mini_grid,PIND,Ondo,Ilaje,Gbagira,A4&T Power Solutions,A4&T Power Solutions,solar,operational,15.0,18.0,Equity; Grant,5.9204441,4.9679926,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-6,Ligun Water Side,mini_grid,A4&T Power Solutions,Ondo,,Ligun Water Side,A4&T Power Solutions,A4&T Power Solutions,solar,operational,6.0,44.0,Equity;Grant,7.1000051,4.8416936,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-8,Obadoore,mini_grid,USADF Allon,Ondo,Ogbadigbo,Obadoore,ACOB,ACOB,hybrid_mini_grid,under_construction,30.0,,Equity;Grant,6.722,4.555,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-11,Ofetebe,mini_grid,PREEEN Project GEF-SGP;UNDP,Ondo,Ovia North-East,Ofetebe,,,solar,operational,4.0,33.0,,6.7495122,5.6888295,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-31,Ugbonla,mini_grid,USADF,Ondo,Ilaje,Ugbonla,A4&T Power Solutions,A4&T Power Solutions,hybrid_mini_grid,under_construction,30.0,150.0,Equity;Grant,6.1413464,4.7880002,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-17,Onibambu & Idi Ita,mini_grid,BoI;UNDP,Osun,Ife North,Onibambu & Idi Ita,,,solar,operational,24.0,,,7.3181257,4.4273379,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-48,Budo Are,mini_grid,REA;REF,Oyo,Itesiwaju,Budo Are,Havenhill,Havenhill,hybrid_mini_grid,under_construction,100.0,,,8.3449155,3.2505206,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-44,Angwan Rina,mini_grid,GVE;EU NESP,Plateau,Shendan,Angwan Rina,GVE & Plateau  Govt,GVE & Plateau  Govt,solar,operational,53.0,346.0,Equity; Grant,8.6840883,9.4717572,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-51,Demshin,mini_grid,GVE;EU NESP,Plateau,Shendan,Demshin,GVE & Plateau  Govt,GVE & Plateau  Govt,solar,operational,53.0,352.0,Equity;Grant,8.6879578,9.4465548,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-52,Demshin,mini_grid,GVE;EU NESP,Plateau,Shendan,Demshin,GVE & Plateau  Govt,GVE & Plateau  Govt,solar,operational,53.0,352.0,Equity;Grant,8.6877,9.4461,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-4,Kuka,mini_grid,All On; ElectriFI,Plateau,Shendan,Kuka,GVE,GVE,hybrid_mini_grid,under_construction,150.0,2782.0,,8.4386827,9.6953462,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-26,Shimankar,mini_grid,"All On, ElectriFI",Plateau,Shendan,Shimankar,GVE,GVE,hybrid_mini_grid,under_construction,150.0,2296.0,,8.6282812,9.5257574,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-54,Egbeke (Upgraded),mini_grid,GVE;Grant from IEEE USA; BoI;UNDP,Rivers,Etche,Egbeke (Upgraded),GVE,GVE,solar,operational,52.0,486.0,,5.19,7.216,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-33,Umuagwu,mini_grid,IEEE USA;BoI;UNDP,Rivers,Etche,Umuagwu,GVE,GVE,solar,operational,7.0,,,5.1723097,7.114312,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-35,Umuode,mini_grid,US Power Africa Inititive;GE Africa; IEEE;GVE,Rivers,Etche,Umuode,GVE,GVE,solar,operational,11.0,,,5.1117038,7.1010162,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-36,Umuokwu,mini_grid,US Power Africa Inititive; GE Africa;IEEE;GVE,Rivers,Etche,Umuokwu,GVE,GVE,solar,operational,11.0,,,5.1295675,7.1606433,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-53,Dundaye,mini_grid,WB;Sokoto Government,Sokoto,Wamako,Dundaye,SERC (Sokoto Energy Research Centre),SERC (Sokoto Energy Research Centre),solar,operational,10.0,,,13.1347641,5.22509,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-5,Kurdula,mini_grid,EU; NESP,Sokoto,Gudu,Kurdula,Go Solar,Go Solar,solar,operational,80.0,800.0,,13.5756785,4.365783,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-29,Torankawa,mini_grid,,Sokoto,Yabo,Torankawa,,,solar,operational,60.0,,,12.656,4.865,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-eep-udus,Usmanu Danfodiyo University Sokoto solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Sokoto,Wamako,Main campus,Rural Electrification Agency,Usmanu Danfodiyo University Sokoto,solar_hybrid,commissioned,4400.0,,Federal Government of Nigeria,13.126573,5.208389,campus,OpenStreetMap university centroid; facility position within campus not identified,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA lists 4.4 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-25,Sarkin Kudu,mini_grid,REA;REF,Taraba,Ibi,Sarkin Kudu,Gee Dee Global Engineering Ltd,Gee Dee Global Engineering Ltd,hybrid_mini_grid,under_construction,91.0,380.0,Debt;Equity;Grant,8.3219979,9.6943819,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-yobe-potiskum,General Hospital Potiskum containerized solar mini-grid,public_institution_off_grid,REA public-institution energy access,Yobe,Potiskum,General Hospital Potiskum,Rural Electrification Agency,General Hospital Potiskum,solar_battery,commissioned,50.0,,Public funding,11.720763,10.990742,facility,OpenStreetMap hospital point,REA June 2025 newsletter,https://rea.gov.ng/june2025-newsletter.pdf,2026-07-24,official_deployed,official_supplement,REA described this 50 kW containerized system as part of its impact footprint in Yobe; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
rea-yobe-damaturu,Yobe State Specialist Hospital containerized solar mini-grid,public_institution_off_grid,REA public-institution energy access,Yobe,Damaturu,Yobe State Specialist Hospital,Rural Electrification Agency,Yobe State Specialist Hospital,solar_battery,commissioned,50.0,,Public funding,11.729647,11.956617,facility,OpenStreetMap hospital point,REA June 2025 newsletter,https://rea.gov.ng/june2025-newsletter.pdf,2026-07-24,official_deployed,official_supplement,REA described this 50 kW containerized system as part of its impact footprint in Yobe; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
